Sample_ID,Latitude,Longitude,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Mn_pct,P_pct,Ti_pct,Ag_ppm,As_ppm,Cu_ppm,Pb_ppm,Zn_ppm,Ni_ppm,Cr_ppm,Co_ppm,Mo_ppm,U_ppm,Th_ppm,V_ppm,Cluster
C447457,47.47237,-115.77932,-0.8365678114746081,-0.4268755397481921,0.3057029841632552,-0.5462424391332185,-0.2932904707921859,0.9579142626249119,-0.13240341983563816,-0.5941911771236579,-0.027321070178738405,-0.1778198924845637,-0.4437944750515142,4.321745999436173,0.36428906476366746,-0.054456763957583275,-0.04872791935195721,-0.09536523192160887,-0.1446898573929545,-0.20894693886747137,-0.06448985473212737,-0.40285981804087406,1.0
C447458,-22.7969,-69.2543,1.5291014179742182,-0.533269533135549,-0.7426939191614466,0.7823754228101724,-0.5087498134129826,-0.21197733537146396,-0.16068214930343483,-0.03454710126050093,-0.1452729060591728,-0.1767543887018644,-0.3809122106147611,-0.23344474659186018,-0.3314827031699986,-0.05458742115380711,-0.04872791935195721,-0.09794727101871815,-0.126844475494441,-0.2004320497638646,-0.05549620247788305,-0.2147808798152906,1.0
C447459,-23.4285,-70.0549,1.421570998453817,-0.4307444122350051,-0.7921595659762424,-0.5657093675133414,-0.37024023601389905,-0.2045025628428631,-0.14654278456953648,-0.24979482274633058,-0.13931805609239362,-0.17864861764888534,-0.2659033285091045,-0.23345740204388407,-0.33113885747297184,-0.05423900196387688,-0.04655516245717183,-0.102771607226475,-0.14252678079919529,-0.13339994405462002,-0.017934478357215563,-0.3615741974547704,1.0
C447460,47.47237,-115.77932,-0.7648808651276738,-0.5061874257278581,0.15455795222915658,-0.5413757070381877,-0.3651102516657848,0.8203784480986563,-0.14654278456953648,-0.5511416328264921,-0.10335992360068835,-0.1763400261197036,-0.4422234255236261,3.195410769309693,0.7388352704535404,-0.05397768757142922,-0.04872791935195721,-0.08768706302757333,-0.14252678079919529,-0.205504749655375,-0.06025754778895357,-0.41203440039334155,1.0
C447462,48.08419,-79.91753,1.0892042472089407,-0.26244845905864045,0.1476877235048794,-0.0060351765848068095,-0.19582076817801594,-0.17926773078630664,-0.11826405510173986,0.4389978860083241,-0.1461890368232927,-0.17864861764888534,-0.4460301993796627,-0.23345740204388407,-0.32977575488833005,-0.054413211558841997,-0.046838565530404705,-0.09957803255373456,-0.1446898573929545,-0.18050358590435947,-0.016876401621422107,0.16137699663587635,1.0
C447463,-22.7969,-69.2543,0.75357899840284,-0.529400660648736,-0.4046786659270081,0.5974396031990045,-0.4574499699318406,-0.2133526935167265,-0.18896087877123147,-0.16369573415199873,-0.14550193875020279,-0.1778198924845637,-0.3011512345835176,-0.2335586456600752,-0.33175286764623396,-0.05423900196387688,-0.04627175938393896,-0.0976075290322564,0.06566934135012874,-0.2004320497638646,-0.062373701260540475,-0.2147808798152906,1.0
C447464,-26.5709,-70.3101,1.1674081886783236,-0.150251156941064,0.41562664375169034,2.855603295293266,-0.03679125338647544,-0.1399803263759806,-0.16068214930343483,0.6972951517913196,-0.1461890368232927,-0.17841183903050772,-0.34939051175392877,-0.23381175470055307,-0.3318879498843516,-0.054151897166394326,-0.042398584049756334,-0.01797200740562236,-0.13982293505699628,-0.1902866499808438,-0.062373701260540475,0.29899573192288864,1.0
C447465,-23.4285,-70.0549,1.4574144716272845,-0.5042529894844516,-0.8835336080091294,-0.5754428317034029,-0.39589015775447006,-0.2059377191683545,-0.13240341983563816,-0.12064618985483284,-0.1461890368232927,-0.17924056419482937,-0.43388477802945064,-0.2339256537687681,-0.33166690622197725,-0.05454386875506583,-0.04664963014824946,-0.10392672998044494,-0.14252678079919529,-0.16202446487100017,-0.012115056310351589,-0.37074877980723786,1.0
C447466,-26.5709,-70.3101,1.2488706277089305,-0.5081218619712646,-0.38544202549903195,1.82385609114675,1.230314880597734,-0.19547303762831328,-0.07584596090004486,0.6111960631969877,-0.1461890368232927,-0.17847103368510212,-0.4305614040281488,-0.2341407964531743,-0.3315072635769291,-0.05180006763436532,-0.04532708247316271,-0.09285114122179192,-0.1446898573929545,-0.14970505084876057,-0.048618703695225626,0.13844054075470763,0.0
C447467,-10.5804,26.1899,1.8614681692190946,-0.4945808082674192,-0.6836099521326626,1.7216547171511045,2.0305924389035503,-0.20665529733110014,-0.04756723143224824,1.902682392111965,-0.1461890368232927,-0.176399220774298,-0.42190048996415014,-0.2339256537687681,-0.3314458625596029,-0.05275822040667343,-0.03701392565833171,-0.042093688444406564,-0.14198601165075547,-0.14173366530495854,0.007988401669723968,0.14761512310717512,0.0
C447468,-10.5804,26.1899,0.2908723447089924,1.002672844129204,-0.871854219177858,-0.0060351765848068095,2.4409911867526874,-0.19613081761083015,-0.11826405510173986,0.525096974602656,-0.14550193875020279,-0.17924056419482937,0.10369614375688498,-0.23428000642543712,-0.33205987273286497,-0.05454386875506583,-0.042965390196222086,-0.09217165724886842,-0.13982293505699628,-0.10405075182516697,-0.02428293877197626,-0.46708189450814647,1.0
C447469,-21.9182,-68.832,1.8191077009231793,-0.3765801974196233,-0.810709183531791,0.2665018207369144,-0.03166126903836122,-0.2037251864998886,-0.14654278456953648,0.4820474303054901,-0.1461890368232927,-0.17858942299429093,-0.41978561559968536,-0.23405220828900702,-0.33120025849029805,-0.054151897166394326,-0.04598835631070608,-0.09971392934831927,-0.14198601165075547,-0.1870256286220157,-0.034863706129910764,0.10174221134483769,1.0
C447470,-21.9182,-68.832,0.17030793494369406,-0.52166291567511,-0.37032752230562205,0.11076639369593086,-0.49335986036864005,-0.21287430807489607,-0.08998532563394321,0.05155198733383086,-0.1452729060591728,-0.12531423385932774,-0.3394203897500233,-0.23406486374103092,-0.33019328180614826,-0.05406479236891178,-0.04627175938393896,-0.08741526943840393,0.12028702534254881,-0.17162636109421625,-0.036450821233600945,-0.13679692981931696,1.0
C447472,48.08419,-79.91753,-0.5498200260868715,-0.517794043188297,0.0927258937106617,-0.4294408688524808,-0.4625799542799548,-0.21090096812734543,-0.18896087877123147,-0.42199299993499423,-0.14573097144123276,-0.17255156822566178,-0.4452849579369465,-0.2337358219884097,-0.3309792148279237,-0.05158230564065893,-0.045043679399929835,-0.08394990117649408,-0.1414452425023157,-0.20967161028054426,-0.06607696983581755,-0.32487586804490043,1.0
C447473,-25.8,-69.84,1.428087993576266,-0.39205568736687524,-0.2885718004867233,-0.09850308639039076,0.3787374788107755,-0.13938234457369253,0.06554768643893837,4.313456872753256,-0.10427605436480823,-0.1779974764483469,0.5609118396935585,-0.23405220828900702,-0.3286828167799235,-0.05393413517268794,-0.04485474401777458,-0.09176396686511432,-0.14198601165075547,-0.19608402128542712,-0.05443812574208959,0.7760740142511979,0.0
C447474,-26.5709,-70.3101,1.6105638570048253,-0.5313350968921425,-0.2789534802727352,3.0064719902392185,0.12223826140506507,-0.18692189785559393,-0.07584596090004486,0.8694933289799832,-0.14573097144123276,-0.17924056419482937,-0.4108225766264774,-0.23428000642543712,-0.3316791864254425,-0.05375992557772283,-0.046838565530404705,-0.09366652198930012,-0.14252678079919529,-0.1623868005775366,-0.04332832001625837,0.10632950252107143,1.0
C447475,40.14927,-7.74815,5.396938023147438,-0.52166291567511,-0.6259000308487341,-0.11310328267548299,-0.49335986036864005,0.1518347931405965,-0.06170659616614655,-0.5941911771236579,-0.14550193875020279,-0.055819709365498,-0.44056173852297514,-0.2341154855491265,-0.258194448889436,-0.05515360233744372,-0.04872791935195721,-0.10528569792629194,-0.1446898573929545,-0.19735219625830472,-0.061315624524747016,-0.3111139945161992,1.0
C447476,-31.69246,-71.26454,0.7470620032803916,0.46489956846219976,0.8553212821054317,-0.10823655058045226,0.6660166023051711,-0.1798657125885947,-0.13240341983563816,1.1277905947629787,-0.1461890368232927,-0.1767543887018644,-0.44580864111290924,-0.23428000642543712,-0.3315686645942553,-0.05031928607716187,-0.04627175938393896,-0.09441395435951597,-0.1446898573929545,-0.19119248924718496,-0.0629027396284372,0.8953435848332753,1.0
C447477,-23.4285,-70.0549,-0.8300508163521595,4.144197303421344,-0.8004038404453752,-0.5754428317034029,-0.4882298760205258,-0.0915438003906471,-0.18896087877123147,-0.6802902657179898,-0.048392077753495626,-0.1781158657575357,0.742186785219112,-0.22840787668635074,-0.33205987273286497,-0.05515360233744372,-0.04872791935195721,-0.10399467837773729,-0.14198601165075547,-0.16709716476251055,-0.06766408493950772,-0.3615741974547704,1.0
C447478,-25.8,-69.84,1.255387622831379,0.24824270920067285,-0.5551366749886788,0.3930368552077136,-0.13426095600064544,-0.1357944537599641,0.05140832170504003,3.8399118854844314,-0.11114703509570734,-0.17746472455699727,0.6112659912284345,-0.23341943568781237,-0.329873996516052,-0.05436965916010072,-0.04485474401777458,-0.09611266429182472,-0.14198601165075547,-0.18811263574162507,-0.057612355949469944,0.7852485966036654,1.0
C447479,-23.4285,-70.0549,1.9852910765456173,-0.15798890191468995,-0.5853656813754986,-0.5657093675133414,1.1944049901609348,-0.11247316347072946,-0.04756723143224824,3.1080696324326107,-0.14573097144123276,-0.1778790871391581,-0.44574821613106735,-0.22706639877181808,-0.324237383125506,-0.05249690601422577,-0.034179894926002964,-0.09312293481096132,-0.1446898573929545,-0.19300416777986723,-0.042799281648361644,0.4228525936811997,0.0
C447480,40.529973,-112.136459,1.6203393496884984,-0.4868430632937933,-0.8642969675811532,3.4785450034572,0.4454272753362602,-0.21185773901100632,0.023129592237243403,1.1277905947629787,-0.14344064453093305,-0.17924056419482937,-0.30316540064491265,-0.2339129983167442,-0.33172830723930347,-0.05227914402051938,-0.03805307026018558,-0.10304340081564439,0.0754031860220452,-0.15242256864778403,0.06512454540257029,0.25771011133678495,1.0
C447482,40.529973,-112.136459,1.1902176716068933,-0.4636298283729154,-0.8045259776799415,2.135326945228717,0.5685468996910013,-0.2113195553889471,0.05140832170504003,1.1708401390601448,-0.1452729060591728,-0.17924056419482937,-0.36157621642536875,-0.23401424193293535,-0.3317405874427687,-0.05288887760289727,-0.038997747170961834,-0.0992382905672728,-0.07060448405670153,-0.10694943747745864,0.14712549242656264,0.25771011133678495,1.0
C447483,40.529973,-112.136459,-0.04149440653588404,-0.5313350968921425,-0.9048313170543887,0.7142411734797423,-0.3394603299252138,-0.2133526935167265,-0.13240341983563816,-0.16369573415199873,-0.1448148406771129,-0.17924056419482937,-0.3655038402450891,-0.23397627557686368,-0.33177742805316446,-0.053585715982757715,-0.043437728651610205,-0.10365493639127554,0.060802419014170515,-0.17778606810533604,-0.002063327320313811,-0.28359024745879674,0.0
C447484,40.529973,-112.136459,-0.18812679679097652,-0.5119907344580776,-0.9048313170543887,0.42710397987292864,-0.2676405490516149,-0.2131732989760401,0.06554768643893837,-0.12064618985483284,-0.1461890368232927,-0.17924056419482937,-0.41414595062777926,-0.2340775191930548,-0.3318142686635602,-0.05367282078024027,-0.042965390196222086,-0.10379083318586026,-0.12197755315848278,-0.17796723595860425,-0.008411787735074509,-0.19184442393412188,1.0
C447485,40.529973,-112.136459,1.3531425496681075,-0.4210722310179726,-0.6987244553260724,2.393263746265346,0.6506266492608286,-0.21048238086574378,0.15038387484232832,1.42913740484314,-0.1461890368232927,-0.17835264437591333,-0.18634376908400047,-0.23388768741269642,-0.3315686645942553,-0.052627563210449604,-0.04060369791928146,-0.09842290979976462,-0.1025098638146499,-0.1245227192444768,0.08893127195792293,0.28982114957042115,1.0
C447486,40.529973,-112.136459,1.56820338870891,-0.4075311773141272,-0.7179610957540487,2.08665962427841,0.6352366962164858,-0.2109607663075742,0.06554768643893837,1.2999887719516425,-0.14550193875020279,-0.17924056419482937,-0.3675180063064841,-0.2339129983167442,-0.33177742805316446,-0.05214848682429554,-0.035880313365400214,-0.09407421237305422,-0.13874139676011668,-0.09988389119999773,0.09263454053319997,0.20266261722198003,0.0
C447487,40.529973,-112.136459,-0.8333093139133837,-0.5274662244053295,-0.5977320930791976,-0.5219087786580647,-0.5343997351535537,-0.21472805166198908,-0.14654278456953648,-0.5941911771236579,-0.14504387336814284,-0.17924056419482937,0.13894404983129813,-0.23406486374103092,-0.3318142686635602,-0.053847030375205385,-0.04494921170885221,-0.10229596844542854,0.2771100783900916,-0.20369307112269272,-0.061844662892643745,-0.40285981804087406,0.0
C447488,40.529973,-112.136459,1.0142588033007822,-0.529400660648736,-0.9007091798198223,2.6220001547317904,-0.34459031427332804,-0.21341249169695534,-0.07584596090004486,0.998641961871481,-0.1461890368232927,-0.17699116732024203,-0.38927099976955054,-0.23405220828900702,-0.3318879498843516,-0.054108344767653055,-0.03843094102449608,-0.10372288478856789,-0.08844986595521502,-0.10876111601014092,0.04607916415828817,0.4228525936811997,1.0
C447489,40.529973,-112.136459,0.7568374959640642,-0.4945808082674192,-0.896587042585256,2.28619564017467,0.055548464879580296,-0.21024318814482856,-0.019288501964451584,0.7403446960884855,-0.14458580798608292,-0.17864861764888534,-0.3577493009087182,-0.23386237650864863,-0.3317651478496992,-0.0534115063877926,-0.03918668255311709,-0.10399467837773729,0.41338390379692186,-0.17615555742592198,0.039730703743527475,0.10174221134483769,1.0
C447490,40.529973,-112.136459,-0.7160034017093098,-0.5139251707014841,-0.8059000234247969,-0.31750603066677385,-0.07270114382327493,-0.20743267367407464,-0.13240341983563816,-0.4650425442321601,-0.14458580798608292,-0.17752391921159166,-0.30820081579840025,-0.23406486374103092,-0.33171602703583825,-0.053847030375205385,-0.04494921170885221,-0.10161648447250504,-0.13333370527571864,-0.18412694296972404,-0.0629027396284372,-0.34781232392606914,1.0
C447492,40.529973,-112.136459,-0.5139765529134045,-0.529400660648736,-0.8780374250297076,-0.24450504924131286,-0.46770993862806903,-0.21341249169695534,-0.13240341983563816,-0.4650425442321601,-0.14573097144123276,-0.17823425506672452,-0.35785000921178794,-0.23406486374103092,-0.3315563843907901,-0.05345505878653388,-0.04287092250514446,-0.10202417485625914,-0.10629524785372851,-0.19988854620405994,-0.062373701260540475,-0.3340504503973679,0.0
C447493,40.529973,-112.136459,0.704701534984476,-0.4907119357806062,-0.8416252127910383,1.512385237064783,-0.052181206430818076,-0.21263511535398083,-0.08998532563394321,0.3528987974139923,-0.14550193875020279,-0.17924056419482937,-0.3459664294495572,-0.23403955283698313,-0.3319125102912821,-0.05349861118527516,-0.04249305174083396,-0.10324724600752144,-0.11765139997096437,-0.15749526853929444,0.01856916902765847,-0.04046381511840835,1.0
C447494,40.529973,-112.136459,1.532359915535443,-0.47910531832016734,-0.7825412457622544,2.9188708125286658,-0.10348104991196015,-0.2131135007958113,0.13624451010842997,1.6874346706261358,-0.1448148406771129,-0.17924056419482937,-0.2719458266932896,-0.2339509646728159,-0.3310037752348542,-0.0530195347991211,-0.03871434409772896,-0.10120879408875096,0.5593915738756685,-0.04951922799143016,0.12278972750331332,0.3586305172139273,0.0
C447495,40.529973,-112.136459,1.8321416911680761,-0.34949809001193244,-0.7248313244783259,1.3955836667840453,0.7327063988306558,-0.2098843990634557,-0.005149137230553268,1.041691506168647,-0.14573097144123276,-0.17924056419482937,-0.43610036069698516,-0.23400158648091146,-0.3314458625596029,-0.05049349567212698,-0.033802024161692465,-0.08666783706818808,-0.1414452425023157,-0.11002929098301852,0.02333051433872899,0.014583678996396563,0.0
C447496,41.2496,-116.77815,-0.1457663284950609,1.2928382806401777,-0.9137626143959491,0.7580417623350187,-0.5241397664573253,-0.21090096812734543,-0.14654278456953648,-0.42199299993499423,0.1563631480272973,-0.17924056419482937,-0.4429384544754213,-0.2333814693317407,-0.33089325340366704,-0.05450031635632455,-0.04636622707501658,-0.10365493639127554,-0.13982293505699628,-0.20858460316093488,-0.06448985473212737,-0.3661614886310041,1.0
C447497,41.2496,-116.77815,0.5515521496069347,-0.29146500270973774,-0.9295641404617867,2.412730674645469,-0.539529719501668,-0.21119995902848945,-0.18896087877123147,-0.6802902657179898,0.3464602815821722,-0.17924056419482937,-0.4428176045117376,-0.2327993185386416,-0.32995995794030863,-0.05450031635632455,-0.04636622707501658,-0.10528569792629194,-0.14198601165075547,-0.21347613519917708,-0.0692512000431979,-0.4166216915695753,0.0
